from,to
mots_d'accueil@%courses,mots_d'accueil_courses_exemples_d'activités_accueil
déjeuner@%nourriture_courses_exemples_d'activités_accueil_-_2,déjeuner_courses_exemples_d'activités_accueil
bonbons@%nourriture_courses_exemples_d'activités_accueil_-_2,bonbons_courses_exemples_d'activités_accueil
dîner@%nourriture_courses_exemples_d'activités_accueil_-_2,dîner_courses_exemples_d'activités_accueil
ustensiles@%nourriture_courses_exemples_d'activités_accueil_-_2,ustensiles_courses_exemples_d'activités_accueil
casse-croûte@%nourriture_courses_exemples_d'activités_accueil_-_2,casse-croûte_courses_exemples_d'activités_accueil
batterie_de_cuisine@%nourriture_courses_exemples_d'activités_accueil_-_2,batterie_de_cuisine_courses_exemples_d'activités_accueil
souper@%nourriture_courses_exemples_d'activités_accueil_-_2,souper_courses_exemples_d'activités_accueil
ingrédients@%nourriture_courses_exemples_d'activités_accueil_-_2,ingrédients_courses_exemples_d'activités_accueil
breuvages@%nourriture_courses_exemples_d'activités_accueil_-_2,breuvages_courses_exemples_d'activités_accueil
condiments@%nourriture_courses_exemples_d'activités_accueil_-_2,condiments_courses_exemples_d'activités_accueil
desserts@%nourriture_courses_exemples_d'activités_accueil_-_2,desserts_courses_exemples_d'activités_accueil
viandes@%nourriture_courses_exemples_d'activités_accueil_-_2,viandes_courses_exemples_d'activités_accueil
fruits@%nourriture_courses_exemples_d'activités_accueil_-_2,fruits_courses_exemples_d'activités_accueil
accompagnements@%nourriture_courses_exemples_d'activités_accueil_-_2,accompagnements_courses_exemples_d'activités_accueil
légumes@%nourriture_courses_exemples_d'activités_accueil_-_2,légumes_courses_exemples_d'activités_accueil
saveurs@%desserts_courses_exemples_d'activités_accueil,saveurs_courses_exemples_d'activités_accueil
personnages_de_harry_potter@%harry_potter_exemples_d'activités_accueil,personnages_de_harry_potter_exemples_d'activités_accueil
choses_de_harry_potter@%harry_potter_exemples_d'activités_accueil,choses_de_harry_potter_exemples_d'activités_accueil
mots_d'accueil@%harry_potter_exemples_d'activités_accueil,mots_d'accueil_harry_potter_exemples_d'activités_accueil
nourriture@%repas_exemples_d'activités_accueil,nourriture_repas_exemples_d'activités_accueil
mots_d'accueil@%repas_exemples_d'activités_accueil,mots_d'accueil_repas_exemples_d'activités_accueil
professeurs@%aujourd'hui_à_l'école_exemples_d'activités_accueil,professeurs_aujourd'hui_à_l'école_exemples_d'activités_accueil
amis@%aujourd'hui_à_l'école_exemples_d'activités_accueil,amis_aujourd'hui_à_l'école_exemples_d'activités_accueil
mots_d'accueil@%aujourd'hui_à_l'école_exemples_d'activités_accueil,mots_d'accueil_aujourd'hui_à_l'école_exemples_d'activités_accueil
ordinateur@%divertissement_accueil_-_2,ordinateurs_divertissement_accueil
sports@%divertissement_accueil_-_2,sports_divertissement_accueil
films@%divertissement_accueil_-_2,films_divertissement_accueil
jouets@%divertissement_accueil_-₂,jouets_divertissement_accueil
électronique@%divertissement_accueil_-_2,électronique_divertissement_accueil
tv@%divertissement_accueil_-_2,tv_divertissement_accueil
loisirs@%divertissement_accueil_-_2,loisirs_divertissement_accueil
musique@%divertissement_accueil_-_2,musique_divertissement_accueil
jeux@%divertissement_accueil_-_2,jeux_divertissement_accueil
lecture@%divertissement_accueil_-_2,lecture_divertissement_accueil
spectacles@%divertissement_accueil_-_2,spectacles_divertissement_accueil
hockey@%sports_divertissement_accueil,hockey_sports_divertissement_accueil
baseball@%sports_divertissement_accueil_-_2,baseball_sports_divertissement_accueil
basketball@%sports_divertissement_accueil_-_2,basketball_sports_divertissement_accueil
bowling@%sports_divertissement_accueil_-_2,bowling_sports_divertissement_accueil
football_américain@%sports_divertissement_accueil_-_2,football_américain_sports_divertissement_accueil
soccer@%sports_divertissement_accueil_-_2,soccer_sports_divertissement_accueil
spectacles@%tv_divertissement_accueil,spectacles_tv_divertissement_accueil
film@%tv_divertissement_accueil,films_tv_divertissement_accueil
postes_de_télé@%tv_divertissement_accueil,postes_de_télé_tv_divertissement_accueil
postes_de_télé@%spectacles_tv_divertissement_accueil,postes_de_télé_spectacles_tv_divertissement_accueil
jeux_de_société@%jeux_divertissement_accueil,jeux_de_société_divertissement_accueil
livres@%lecture_divertissement_accueil,livres_lecture_divertissement_accueil
postes_de_télé@%spectacles_divertissement_accueil,postes_de_télé_spectacles_divertissement_accueil
ponctuation@%nombres_accueil,ponctuation_nombres_accueil
nombres@%école_accueil,nombres_école_accueil
professeurs@%école_accueil,professeurs_école_accueil
couleurs@%école_accueil,couleurs_école_accueil
matériel_d'art_plastique@%école_accueil,matériel_d'art_plastique_école_accueil
formes@%école_accueil,formes_école_accueil
calendrier@%école_accueil,calendrier_école_accueil
horaire@%école_accueil,horaire_école_accueil
sciences@%école_accueil_-_3,sciences_école_accueil
art@%école_accueil_-_3,arts_école_accueil
mes_règles@%école_accueil_-_3,mes_règles_école_accueil
géographie@%école_accueil_-_3,géographie_école_accueil
histoire@%école_accueil_-_3,histoire_école_accueil
maths@%école_accueil_-_3,maths_école_accueil
argent@%école_accueil_-_3,argent_école_accueil
musique@%école_accueil_-_3,musique_école_accueil
signaux_de_sécurité@%école_accueil_-_3,signaux_de_sécurité_école_accueil
ponctuation@%nombres_école_accueil,ponctuation_nombres_école_accueil
couleurs@%matériel_d'art_plastique_école_accueil,couleurs_matériel_d'art_plastique_école_accueil
formes@%matériel_d'art_plastique_école_accueil,formes_matériel_d'art_plastique_école_accueil
jours_de_la_semaine@%calendrier_école_accueil,jours_de_la_semaine_calendrier_école_accueil
mois@%calendrier_école_accueil,mois_calendrier_école_accueil
numéros_de_calendrier@%calendrier_école_accueil,numéros_de_calendrier_calendrier_école_accueil
météo@%calendrier_école_accueil,météo_calendrier_école_accueil
astronomie@%sciences_école_accueil,astronomie_sciences_école_accueil
couleurs@%art_école_accueil,couleurs_art_école_accueil
formes@%art_école_accueil,formes_art_école_accueil
matériel_d'art_plastique@%art_école_accueil,matériel_d'art_plastique_art_école_accueil
couleurs@%matériel_d'art_plastique_art_école_accueil,couleurs_matériel_d'art_plastique_art_école_accueil
formes@%matériel_d'art_plastique_art_école_accueil,formes_matériel_d'art_plastique_art_école_accueil
continents_et_mers@%géographie_école_accueil,continents_et_mers_géographie_école_accueil
pays@%géographie_école_accueil,pays_géographie_école_accueil
provinces_du_canada@%géographie_école_accueil,provinces_du_canada_géographie_école_accueil
astronomie@%géographie_école_accueil_-_2,astronomie_géographie_école_accueil
états_des_états_unis@%géographie_école_accueil_-_2,états_des_états_unis_géographie_école_accueil
personnages_historiques@%histoire_école_accueil,personnages_historiques_école_accueil
actualité@%histoire_école_accueil,actualité_école_accueil
nombres@%maths_école_accueil,nombres_maths_école_accueil
ponctuation@%nombres_maths_école_accueil,ponctuation_nombres_école_accueil
nombres@%argent_école_accueil,nombres_argent_école_accueil
ponctuation@%nombres_argent_école_accueil,ponctuation_nombres_argent_école_accueil
événements_spéciaux@%temps_accueil,événements_spéciaux_temps_accueil
moments_de_la_journée@%temps_accueil,moments_de_la_journée_temps_accueil
jours_de_la_semaine@%temps_accueil,jours_de_la_semaine_temps_accueil
mois@%temps_accueil,mois_temps_accueil
saisons@%temps_accueil,saisons_temps_accueil
mots_pour_ranger@%temps_accueil,mots_pour_ranger_temps_accueil
nombres@%temps_accueil,nombres_temps_accueil
calendrier@%temps_accueil_-_2,calendrier_temps_accueil
vacances@%événements_spéciaux_temps_accueil,vacances_temps_accueil
choses_de_vacances@%vacances_événements_spéciaux_temps_accueil,choses_de_vacances_événements_spéciaux_temps_accueil
ponctuation@%nombres_temps_accueil,ponctuation_nombres_temps_accueil
jours_de_la_semaine@%calendrier_temps_accueil,jours_de_la_semaine_calendrier_temps_accueil
mois@%calendrier_temps_accueil,mois_calendrier_temps_accueil
numéros_de_calendrier_temps_accueil@%calendrier_temps_accueil,numéros_de_calendrier_calendrier_temps_accueil
météo@%calendrier_temps_accueil,météo_calendrier_temps_accueil
chrétien@%religion_accueil_-_2,chrétien_religion_accueil
catholique@%religion_accueil_-_2,catholique_religion_accueil
juif@%religion_accueil_-_2,juif_religion_accueil
musulman@%religion_accueil_-_2,musulman_religion_accueil
bible@%chrétien_religion_accueil,bible_chrétien_religion_accueil
fêtes_religieuses@%chrétien_religion_accueil,fêtes_religieuses_chrétien_religion_accueil
prières@%chrétien_religion_accueil,prières_chrétien_religion_accueil
sacrements@%chrétien_religion_accueil,sacrements_chrétien_religion_accueil
chansons@%chrétien_religion_accueil,chansons_chrétien_religion_accueil
après_la_messe@%chrétien_religion_accueil,après_la_messe_chrétien_religion_accueil
mes_prières@%catholique_religion_accueil,mes_prières_catholique_religion_accueil
chansons@%catholique_religion_accueil,chansons_catholique_religion_accueil
bible@%catholique_religion_accueil,bible_catholique_religion_accueil
fêtes_religieuses@%catholique_religion_accueil,fêtes_religieuses_catholique_religion_accueil
sacrements@%catholique_religion_accueil,sacrements_catholique_religion_accueil
fêtes_religieuses@%juif_religion_accueil,fêtes_religieuses_juif_religion_accueil
calendrier_hébraïque@%juif_religion_accueil,calendrier_hébraïque_juif_religion_accueil
clavier@%indices_accueil,clavier_indices_accueil
décrire@%indices_accueil,mots_descriptifs_indices_accueil
lieux@%indices_accueil_-_2,lieux_indices_accueil
catégorie@%indices_accueil_-_2,catégorie_indices_accueil
ponctuation@%clavier_indices_accueil,ponctuation_indices_accueil
nombres@%clavier_indices_accueil_-_2 ,nombres_indices_accueil
clavier_indices_accueil_majuscule@%clavier_indices_accueil_-_2 ,clavier_majuscules_indices_accueil
ponctuation@%nombres_clavier_indices_accueil,ponctuation_nombres_clavier_indices_accueil
ponctuation@%clavier_majuscules_indices_accueil,ponctuation_clavier_majuscules_indices_accueil
nombres@%clavier_majuscules_indices_accueil_-_2 ,nombres_clavier_majuscules_indices_accueil
ponctuation@%nombres_clavier_majuscules_indices_accueil,ponctuation_nombres_clavier_majuscules_indices_accueil
émotions@%mots_descriptifs_indices_accueil,émotions_mots_descriptifs_indices_accueil
couleurs@%mots_descriptifs_indices_accueil,couleurs_mots_descriptifs_indices_accueil
positifs@%mots_descriptifs_indices_accueil_-_2,positifs_mots_descriptifs_indices_accueil
quantités@%mots_descriptifs_indices_accueil_-_2,quantités_mots_descriptifs_indices_accueil
négatifs@%mots_descriptifs_indices_accueil_-_2,négatifs_mots_descriptifs_indices_accueil
contraires@%mots_descriptifs_indices_accueil_-_2,contraires_mots_descriptifs_indices_accueil
apparence@%mots_descriptifs_indices_accueil_-_2,apparence_mots_descriptifs_indices_accueil
météo@%mots_descriptifs_indices_accueil_-_2,météo_mots_descriptifs_indices_accueil
sons@%mots_descriptifs_indices_accueil_-_2,sons_mots_descriptifs_indices_accueil
acheter@%mots_descriptifs_indices_accueil_-_2,acheter_mots_descriptifs_indices_accueil
odeurs@%mots_descriptifs_indices_accueil_-_2,odeurs_mots_descriptifs_indices_accueil
abstrait@%mots_descriptifs_indices_accueil_-_2,abstrait_mots_descriptifs_indices_accueil
goûts@%mots_descriptifs_indices_accueil_-_2,goûts_mots_descriptifs_indices_accueil
formes@%mots_descriptifs_indices_accueil_-_2,formes_mots_descriptifs_indices_accueil
sensations@%mots_descriptifs_indices_accueil_-_2,sensations_mots_descriptifs_indices_accueil
a-z_adjectifs@%mots_descriptifs_indices_accueil_-_2,a-z_adjectifs_mots_descriptifs_indices_accueil
taille_et_vitesse@%mots_descriptifs_indices_accueil_-_2,taille_et_vitesse_mots_descriptifs_indices_accueil
nombres@%quantités_mots_descriptifs_indices_accueil,nombres_quantités_mots_descriptifs_indices_accueil
ponctuation@%nombres_quantités_mots_descriptifs_indices_accueil,ponctuation_nombres_quantités_mots_descriptifs_indices_accueil
nombres@%acheter_mots_descriptifs_indices_accueil,nombres_mots_descriptifs_indices_accueil
argent@%acheter_mots_descriptifs_indices_accueil,argent_mots_descriptifs_indices_accueil
taille_et_vitesse@%acheter_mots_descriptifs_indices_accueil,taille_et_vitesse_mots_descriptifs_indices_accueil
couleurs@%acheter_mots_descriptifs_indices_accueil,couleurs_mots_descriptifs_indices_accueil
ponctuation@%nombres_acheter_mots_descriptifs_indices_accueil,ponctuation_nombres_acheter_mots_descriptifs_indices_accueil
nombres@%argent_acheter_mots_descriptifs_indices_accueil,nombres_argent_acheter_mots_descriptifs_indices_accueil
ponctuation@%nombres_argent_acheter_mots_descriptifs_indices_accueil,ponctuation_nombres_argent_acheter_mots_descriptifs_indices_accueil
g@%a-z_adjectifs_mots_descriptifs_indices_accueil,g_adjectifs_mots_descriptifs_indices_accueil
o@%a-z_adjectifs_mots_descriptifs_indices_accueil,o_adjectifs_mots_descriptifs_indices_accueil
a@%a-z_adjectifs_mots_descriptifs_indices_accueil,a_adjectifs_mots_descriptifs_indices_accueil
h@%a-z_adjectifs_mots_descriptifs_indices_accueil,h_adjectifs_mots_descriptifs_indices_accueil
p@%a-z_adjectifs_mots_descriptifs_indices_accueil,p_adjectifs_mots_descriptifs_indices_accueil
b@%a-z_adjectifs_mots_descriptifs_indices_accueil,b_adjectifs_mots_descriptifs_indices_accueil
i@%a-z_adjectifs_mots_descriptifs_indices_accueil,i_adjectifs_mots_descriptifs_indices_accueil
q@%a-z_adjectifs_mots_descriptifs_indices_accueil,q_adjectifs_mots_descriptifs_indices_accueil
c@%a-z_adjectifs_mots_descriptifs_indices_accueil,c_adjectifs_mots_descriptifs_indices_accueil
j@%a-z_adjectifs_mots_descriptifs_indices_accueil,j_adjectifs_mots_descriptifs_indices_accueil
r@%a-z_adjectifs_mots_descriptifs_indices_accueil,r_adjectifs_mots_descriptifs_indices_accueil
d@%a-z_adjectifs_mots_descriptifs_indices_accueil,d_adjectifs_mots_descriptifs_indices_accueil
k@%a-z_adjectifs_mots_descriptifs_indices_accueil,k_adjectifs_mots_descriptifs_indices_accueil
s@%a-z_adjectifs_mots_descriptifs_indices_accueil,s_adjectifs_mots_descriptifs_indices_accueil
e@%a-z_adjectifs_mots_descriptifs_indices_accueil,e_adjectifs_mots_descriptifs_indices_accueil
l@%a-z_adjectifs_mots_descriptifs_indices_accueil,l_adjectifs_mots_descriptifs_indices_accueil
t@%a-z_adjectifs_mots_descriptifs_indices_accueil,t_adjectifs_mots_descriptifs_indices_accueil
m@%a-z_adjectifs_mots_descriptifs_indices_accueil,m_adjectifs_mots_descriptifs_indices_accueil
u@%a-z_adjectifs_mots_descriptifs_indices_accueil,u_adjectifs_mots_descriptifs_indices_accueil
f@%a-z_adjectifs_mots_descriptifs_indices_accueil,f_adjectifs_mots_descriptifs_indices_accueil
n@%a-z_adjectifs_mots_descriptifs_indices_accueil,n_adjectifs_mots_descriptifs_indices_accueil
v@%a-z_adjectifs_mots_descriptifs_indices_accueil_-_2,v_adjectifs_mots_descriptifs_indices_accueil
w@%a-z_adjectifs_mots_descriptifs_indices_accueil_-_2,w_adjectifs_mots_descriptifs_indices_accueil
x@%a-z_adjectifs_mots_descriptifs_indices_accueil_-_2,x_adjectifs_mots_descriptifs_indices_accueil
y@%a-z_adjectifs_mots_descriptifs_indices_accueil_-_2,y_adjectifs_mots_descriptifs_indices_accueil
z@%a-z_adjectifs_mots_descriptifs_indices_accueil_-_2,z_adjectifs_mots_descriptifs_indices_accueil
lieux_célèbres@%lieux_indices_accueil_-_3,lieux_célèbres_lieux_indices_accueil
pays@%lieux_indices_accueil_-_3,pays_lieux_indices_accueil
maison@%lieux_indices_accueil_-_3,maison_lieux_indices_accueil
provinces_du_canada@%lieux_indices_accueil_-_3,provinces_du_canada_lieux_indices_accueil
lieux_extérieurs@%lieux_indices_accueil_-_3,lieux_extérieurs_lieux_indices_accueil
restaurants@%lieux_indices_accueil_-_3,restaurants_lieux_indices_accueil
lieux_de_l'école@%lieux_indices_accueil_-_3,lieux_de_l'école_lieux_indices_accueil
événements_spéciaux@%lieux_indices_accueil_-_3,événements_spéciaux_lieux_indices_accueil
parties_d'immeubles@%lieux_indices_accueil_-_3,parties_d'immeubles_lieux_indices_accueil
magasins@%lieux_indices_accueil_-_3,magasins_lieux_inidices_accueil
lieux_publics@%lieux_indices_accueil_-_3,lieux_publics_lieux_indices_accueil
travail@%lieux_indices_accueil_-_3,travail_lieux_indices_accueil
vacances@%événements_spéciaux_lieux_indices_accueil,vacances_lieux_indices_accueil
choses_de_vacances@%vacances_lieux_indices_accueil,choses_de_vacances_lieux_indices_accueil
fermer@%lequel_accueil,accueil_-_2
